idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
14,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_16perturbations_delta10_epsilon10_w20.vnnlib",300,300,305.31,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0014__NN_rul_small_window_20__robustness_16perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0014__NN_rul_small_window_20__robustness_16perturbations_delta10_epsilon10_w20.log"
15,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_16perturbations_delta20_epsilon10_w20.vnnlib",300,300,3.88,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0015__NN_rul_small_window_20__robustness_16perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0015__NN_rul_small_window_20__robustness_16perturbations_delta20_epsilon10_w20.log"
16,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_16perturbations_delta40_epsilon10_w20.vnnlib",300,300,305.30,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0016__NN_rul_small_window_20__robustness_16perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0016__NN_rul_small_window_20__robustness_16perturbations_delta40_epsilon10_w20.log"
17,"onnx/NN_rul_small_window_20.onnx","vnnlib/monotonicity_CI_shift5_w20.vnnlib",30,30,3.68,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0017__NN_rul_small_window_20__monotonicity_CI_shift5_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0017__NN_rul_small_window_20__monotonicity_CI_shift5_w20.log"
18,"onnx/NN_rul_small_window_20.onnx","vnnlib/monotonicity_CI_shift10_w20.vnnlib",120,120,3.60,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0018__NN_rul_small_window_20__monotonicity_CI_shift10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0018__NN_rul_small_window_20__monotonicity_CI_shift10_w20.log"
19,"onnx/NN_rul_small_window_20.onnx","vnnlib/monotonicity_CI_shift20_w20.vnnlib",300,300,3.70,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0019__NN_rul_small_window_20__monotonicity_CI_shift20_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0019__NN_rul_small_window_20__monotonicity_CI_shift20_w20.log"
20,"onnx/NN_rul_small_window_20.onnx","vnnlib/if_then_5levels_w20.vnnlib",1800,1800,1806.60,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0020__NN_rul_small_window_20__if_then_5levels_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0020__NN_rul_small_window_20__if_then_5levels_w20.log"
21,"onnx/NN_rul_small_window_20.onnx","vnnlib/if_then_7levels_w20.vnnlib",1800,1800,1803.34,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0021__NN_rul_small_window_20__if_then_7levels_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0021__NN_rul_small_window_20__if_then_7levels_w20.log"
22,"onnx/NN_rul_small_window_20.onnx","vnnlib/if_then_9levels_w20.vnnlib",1800,1800,1806.57,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0022__NN_rul_small_window_20__if_then_9levels_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0022__NN_rul_small_window_20__if_then_9levels_w20.log"
23,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_2perturbations_delta5_epsilon10_w20.vnnlib",30,30,33.80,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0023__NN_rul_full_window_20__robustness_2perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0023__NN_rul_full_window_20__robustness_2perturbations_delta5_epsilon10_w20.log"
24,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_2perturbations_delta10_epsilon10_w20.vnnlib",30,30,3.47,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0024__NN_rul_full_window_20__robustness_2perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0024__NN_rul_full_window_20__robustness_2perturbations_delta10_epsilon10_w20.log"
25,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_2perturbations_delta20_epsilon10_w20.vnnlib",60,60,3.45,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0025__NN_rul_full_window_20__robustness_2perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0025__NN_rul_full_window_20__robustness_2perturbations_delta20_epsilon10_w20.log"
26,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_2perturbations_delta40_epsilon10_w20.vnnlib",120,120,3.46,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0026__NN_rul_full_window_20__robustness_2perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0026__NN_rul_full_window_20__robustness_2perturbations_delta40_epsilon10_w20.log"
27,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_4perturbations_delta5_epsilon10_w20.vnnlib",60,60,64.19,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0027__NN_rul_full_window_20__robustness_4perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0027__NN_rul_full_window_20__robustness_4perturbations_delta5_epsilon10_w20.log"
28,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_4perturbations_delta10_epsilon10_w20.vnnlib",60,60,64.36,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0028__NN_rul_full_window_20__robustness_4perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0028__NN_rul_full_window_20__robustness_4perturbations_delta10_epsilon10_w20.log"
29,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_4perturbations_delta20_epsilon10_w20.vnnlib",120,120,124.27,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0029__NN_rul_full_window_20__robustness_4perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0029__NN_rul_full_window_20__robustness_4perturbations_delta20_epsilon10_w20.log"
30,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_4perturbations_delta40_epsilon10_w20.vnnlib",300,300,304.97,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0030__NN_rul_full_window_20__robustness_4perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0030__NN_rul_full_window_20__robustness_4perturbations_delta40_epsilon10_w20.log"
31,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_8perturbations_delta5_epsilon10_w20.vnnlib",120,120,3.46,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0031__NN_rul_full_window_20__robustness_8perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0031__NN_rul_full_window_20__robustness_8perturbations_delta5_epsilon10_w20.log"
32,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_8perturbations_delta10_epsilon10_w20.vnnlib",300,300,3.47,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0032__NN_rul_full_window_20__robustness_8perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0032__NN_rul_full_window_20__robustness_8perturbations_delta10_epsilon10_w20.log"
