idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
15,"./onnx/118_ieee_ml4acopf.onnx","./vnnlib/118_ieee_prop2.vnnlib",600,600,32.17,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0015__118_ieee_ml4acopf__118_ieee_prop2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0015__118_ieee_ml4acopf__118_ieee_prop2.log"
16,"./onnx/118_ieee_ml4acopf.onnx","./vnnlib/118_ieee_prop4.vnnlib",600,600,29.01,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0016__118_ieee_ml4acopf__118_ieee_prop4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0016__118_ieee_ml4acopf__118_ieee_prop4.log"
17,"./onnx/118_ieee_ml4acopf.onnx","./vnnlib/118_ieee_prop3.vnnlib",600,600,631.80,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0017__118_ieee_ml4acopf__118_ieee_prop3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0017__118_ieee_ml4acopf__118_ieee_prop3.log"
18,"./onnx/118_ieee_ml4acopf.onnx","./vnnlib/118_ieee_prop5.vnnlib",600,600,3.41,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0018__118_ieee_ml4acopf__118_ieee_prop5.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0018__118_ieee_ml4acopf__118_ieee_prop5.log"
19,"./onnx/118_ieee_ml4acopf.onnx","./vnnlib/118_ieee_prop6.vnnlib",600,600,3.41,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0019__118_ieee_ml4acopf__118_ieee_prop6.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0019__118_ieee_ml4acopf__118_ieee_prop6.log"
20,"./onnx/300_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/300_ieee_prop3.vnnlib",600,600,9.66,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0020__300_ieee_ml4acopf-linear-nonresidual__300_ieee_prop3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0020__300_ieee_ml4acopf-linear-nonresidual__300_ieee_prop3.log"
21,"./onnx/300_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/300_ieee_prop105.vnnlib",600,600,3.35,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0021__300_ieee_ml4acopf-linear-nonresidual__300_ieee_prop105.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0021__300_ieee_ml4acopf-linear-nonresidual__300_ieee_prop105.log"
22,"./onnx/300_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/300_ieee_prop2.vnnlib",600,600,22.80,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0022__300_ieee_ml4acopf-linear-nonresidual__300_ieee_prop2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0022__300_ieee_ml4acopf-linear-nonresidual__300_ieee_prop2.log"
23,"./onnx/300_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/300_ieee_prop4.vnnlib",600,600,10.31,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0023__300_ieee_ml4acopf-linear-nonresidual__300_ieee_prop4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0023__300_ieee_ml4acopf-linear-nonresidual__300_ieee_prop4.log"
24,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop9.vnnlib",600,600,3.97,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0024__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop9.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0024__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop9.log"
25,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop7.vnnlib",600,600,3.33,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0025__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop7.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0025__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop7.log"
26,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop2.vnnlib",600,600,3.35,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0026__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0026__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop2.log"
27,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop8.vnnlib",600,600,3.32,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0027__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop8.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0027__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop8.log"
28,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop4.vnnlib",600,600,3.34,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0028__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0028__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop4.log"
29,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop6.vnnlib",600,600,3.38,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0029__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop6.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0029__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop6.log"
30,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop12.vnnlib",600,600,3.30,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0030__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop12.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0030__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop12.log"
31,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop13.vnnlib",600,600,3.32,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0031__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop13.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0031__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop13.log"
32,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop11.vnnlib",600,600,3.31,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0032__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop11.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0032__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop11.log"
33,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop1.vnnlib",600,600,13.53,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0033__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop1.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0033__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop1.log"
