sample_rank,dataset_index,epsilon,status,reason,decision_tier,route_changing,candidate_experts,feasible_route_sets,f0_invoked,full_model_witness_valid,verifier_total_seconds,evidence_audit_status
47,2090,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,True,4,3,False,True,13.168610278517008,PASS
48,2092,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,False,2,1,False,True,33.56203464791179,PASS
49,2093,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,131.1851134672761,PASS
50,2097,0.00784313725490196,SAFE,SAFE_WEIGHTED_RANGE,TIER2_F0,True,3,2,True,False,70.57609587255865,PASS
51,2099,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,71.85777261760086,PASS
52,2100,0.00784313725490196,TIMEOUT,TIMEOUT_EXPERT_SOLVE,TIER1_GATE_ELIMINATION,False,2,1,False,False,79.2739516152069,PASS
53,2102,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,True,4,3,True,True,106.17636077292264,PASS
54,2103,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,True,3,2,True,False,178.62511237710714,PASS
55,2104,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,True,3,2,True,False,229.82816467806697,PASS
56,2105,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,True,3,2,False,False,8.366785731166601,PASS
57,2106,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,True,3,2,True,True,24.9186154846102,PASS
58,2107,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,112.97113714646548,PASS
59,2109,0.00784313725490196,TIMEOUT,TIMEOUT_EXPERT_SOLVE,TIER1_GATE_ELIMINATION,False,2,1,False,False,34.18718609213829,PASS
60,2111,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,39.81385327037424,PASS
61,2112,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,True,4,3,True,False,105.0055742142722,PASS
62,2113,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,True,4,3,True,True,43.37546380888671,PASS
63,2116,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,69.81323582585901,PASS
64,2118,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,66.50467510893941,PASS
65,2119,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,49.89791651815176,PASS
66,2122,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,13.553971475921571,PASS
67,2123,0.00784313725490196,UNKNOWN,UNKNOWN_SOLVER_LIMIT,TIER1_GATE_ELIMINATION,False,2,1,False,False,26.383466796018183,PASS
68,2124,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,75.25304202735424,PASS
69,2125,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,36.55313216056675,PASS
70,2126,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,True,3,2,False,True,8.907228467985988,PASS
71,2128,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,80.15764513984323,PASS
72,2132,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,True,3,2,True,True,200.16322607081383,PASS
73,2133,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,True,3,2,False,True,21.090193431824446,PASS
74,2134,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,False,2,1,False,True,29.784428370185196,PASS
75,2135,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,6.937726409174502,PASS
76,2139,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,9.053900526836514,PASS
77,2140,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,True,3,2,True,False,226.2922309814021,PASS
78,2143,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,5.216094047762454,PASS
79,2146,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,False,2,1,False,True,36.84959865082055,PASS
80,2147,0.00784313725490196,SAFE,SAFE_WEIGHTED_RANGE,TIER2_F0,False,2,1,True,False,49.286302268505096,PASS
81,2148,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,True,3,2,True,False,180.41716928221285,PASS
82,2149,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,True,3,2,True,False,123.36503480747342,PASS
83,2150,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,True,4,3,False,False,5.1924068331718445,PASS
84,2152,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,True,3,2,False,True,8.847130709327757,PASS
85,2153,0.00784313725490196,TIMEOUT,TIMEOUT_EXPERT_SOLVE,TIER1_GATE_ELIMINATION,False,2,1,False,False,36.14076253026724,PASS
86,2155,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,7.226306847296655,PASS
87,2156,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,True,3,2,True,False,112.52307806443423,PASS
88,2158,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,4.708070607855916,PASS
89,2160,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,14.830158850178123,PASS
90,2163,0.00784313725490196,SAFE,SAFE_WEIGHTED_RANGE,TIER2_F0,True,3,2,True,False,23.292487682774663,PASS
91,2167,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,140.7150901807472,PASS
92,2169,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,True,3,2,True,True,57.053216462023556,PASS
93,2170,0.00784313725490196,TIMEOUT,TIMEOUT_SUPPORT,TIER1_GATE_ELIMINATION,False,2,1,False,False,13.702959576621652,PASS
94,2173,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,53.87717417720705,PASS
95,2174,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,True,3,2,True,True,65.75614021252841,PASS
96,2175,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,120.46850520372391,PASS
97,2176,0.00784313725490196,TIMEOUT,TIMEOUT_EXPERT_SOLVE,TIER1_GATE_ELIMINATION,False,2,1,False,False,34.269402688369155,PASS
98,2180,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,True,3,2,True,False,279.68533613998443,PASS
99,2181,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,False,2,1,False,True,16.9919714583084,PASS
