model_id,sample_rank,dataset_index,boundary_status,boundary_reason,route_upper,verification_epsilon,exact_feasible_pair_count,fixed_route_unstable_rows,fixed_zonotope_reduction_rows,fixed_ibp_reduction_rows,boundary_guard_binaries_eliminated,f0_invoked,decision_tier,unique_safe,full_model_witness_valid,candidate_seconds,gate_seconds,f0_time_kind,f0_seconds,f0_seconds_lower_bound,total_seconds
seed1,36,1085,SAFE,SAFE_WEIGHTED_RANGE,0.003167126225490196,0.003325482536764706,2,2,0,0,4,True,TIER2_F0,True,False,0.5689437752589583,6.571462731808424,OBSERVED,20.465177428908646,,32.023230135440826
seed1,37,1089,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.005752144607843138,0.006039751838235295,2,1,0,1,20,True,TIER2_F0,False,False,0.4137644078582525,62.09051928669214,OBSERVED,104.46758733317256,,172.53131283260882
seed1,38,1091,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,3.9928046241402626
seed1,39,1092,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,3.9980070339515805
seed2,0,1000,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,3.728122089058161
seed2,1,1002,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.008348651960784315,0.008766084558823531,2,0,0,0,29,True,TIER2_F0,False,False,0.37419173680245876,74.06528590619564,OBSERVED,105.04457416012883,,184.4834528118372
seed2,2,1003,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,0.009819240196078431,0.010310202205882354,2,0,0,0,17,True,TIER2_F0,False,True,0.3817233117297292,60.52485012356192,OBSERVED,17.133426314219832,,83.14420292153955
seed2,3,1004,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.013526348039215687,0.014202665441176472,2,0,0,0,10,True,TIER2_F0,False,False,0.5193916894495487,131.3064548810944,OBSERVED,148.4135170094669,,285.53504698351026
seed2,4,1005,TIMEOUT,INSTANCE_HARD_DEADLINE,,,,0,0,0,,True,TIER2_F0,False,False,,,RIGHT_CENSORED_AT_INSTANCE_DEADLINE,,0.0,300.33583050314337
seed2,5,1006,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,0.010631127450980393,0.011162683823529413,2,0,0,0,33,True,TIER2_F0,False,True,0.2609464153647423,130.0631497260183,OBSERVED,28.626892066560686,,162.87033291347325
seed2,6,1007,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,6.008530071005225
seed2,7,1010,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,6.547090402804315
seed2,8,1011,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.01220894607843137,0.01281939338235294,2,0,0,0,30,True,TIER2_F0,False,False,0.2613824810832739,129.26245857495815,OBSERVED,153.3203216632828,,286.59910978842527
seed2,9,1012,SAFE,SAFE_WEIGHTED_RANGE,0.004924938725490196,0.0051711856617647056,2,1,1,1,8,True,TIER2_F0,True,False,0.40675538405776024,11.358092694543302,OBSERVED,39.218117881566286,,59.360806960612535
seed2,10,1013,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,2.8001877330243587
seed2,11,1016,UNSAFE,UNSAFE_FULL_FORWARD,0.005353860294117647,0.00562155330882353,2,1,1,1,13,False,TIER1_OR_PRE_F0,False,True,0.34314736630767584,117.77663726173341,NOT_INVOKED,,,121.59517684951425
seed2,12,1022,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,3.0260058725252748
seed2,13,1023,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,2.932857235893607
seed2,14,1025,SAFE,SAFE_WEIGHTED_RANGE,0.00044328278186274504,0.0004654469209558823,2,4,4,4,1,True,TIER2_F0,True,False,0.2483486058190465,1.9717254796996713,OBSERVED,4.0955352159217,,9.67940687481314
seed2,15,1029,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.009068627450980391,0.009522058823529411,2,0,0,0,19,True,TIER2_F0,False,False,0.6302033355459571,97.58413863554597,OBSERVED,131.05375557392836,,235.1644788896665
seed2,16,1033,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,0.004756433823529412,0.004994255514705883,2,1,1,1,13,True,TIER2_F0,False,True,0.3724373746663332,68.65494049806148,OBSERVED,69.89647238329053,,143.0289439605549
seed2,17,1035,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.004013480392156862,0.004214154411764706,2,1,1,1,18,True,TIER2_F0,False,False,0.4112182352691889,100.75292729958892,OBSERVED,119.59794151689857,,230.68547926098108
