idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
18,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_94.vnnlib",100,100,0.62,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0018__pgd_2_3_16__pgd_2_3_16_94.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0018__pgd_2_3_16__pgd_2_3_16_94.log"
19,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7664.vnnlib",100,100,0.56,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0019__pgd_2_3_16__pgd_2_3_16_7664.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0019__pgd_2_3_16__pgd_2_3_16_7664.log"
20,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_5846.vnnlib",100,100,0.52,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0020__pgd_2_3_16__pgd_2_3_16_5846.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0020__pgd_2_3_16__pgd_2_3_16_5846.log"
21,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7144.vnnlib",100,100,0.51,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0021__pgd_2_3_16__pgd_2_3_16_7144.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0021__pgd_2_3_16__pgd_2_3_16_7144.log"
22,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6578.vnnlib",100,100,0.38,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0022__pgd_2_3_16__pgd_2_3_16_6578.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0022__pgd_2_3_16__pgd_2_3_16_6578.log"
23,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7154.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0023__pgd_2_3_16__pgd_2_3_16_7154.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0023__pgd_2_3_16__pgd_2_3_16_7154.log"
24,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_3832.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0024__pgd_2_3_16__pgd_2_3_16_3832.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0024__pgd_2_3_16__pgd_2_3_16_3832.log"
25,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_560.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0025__pgd_2_3_16__pgd_2_3_16_560.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0025__pgd_2_3_16__pgd_2_3_16_560.log"
26,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2593.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0026__pgd_2_3_16__pgd_2_3_16_2593.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0026__pgd_2_3_16__pgd_2_3_16_2593.log"
27,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_988.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0027__pgd_2_3_16__pgd_2_3_16_988.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0027__pgd_2_3_16__pgd_2_3_16_988.log"
28,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7102.vnnlib",100,100,0.38,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0028__pgd_2_3_16__pgd_2_3_16_7102.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0028__pgd_2_3_16__pgd_2_3_16_7102.log"
29,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_9306.vnnlib",100,100,0.53,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0029__pgd_2_3_16__pgd_2_3_16_9306.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0029__pgd_2_3_16__pgd_2_3_16_9306.log"
30,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2113.vnnlib",100,100,0.45,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0030__pgd_2_3_16__pgd_2_3_16_2113.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0030__pgd_2_3_16__pgd_2_3_16_2113.log"
31,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2640.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0031__pgd_2_3_16__pgd_2_3_16_2640.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0031__pgd_2_3_16__pgd_2_3_16_2640.log"
32,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_570.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0032__pgd_2_3_16__pgd_2_3_16_570.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0032__pgd_2_3_16__pgd_2_3_16_570.log"
33,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_535.vnnlib",100,100,0.37,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0033__pgd_2_3_16__pgd_2_3_16_535.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0033__pgd_2_3_16__pgd_2_3_16_535.log"
34,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_1579.vnnlib",100,100,0.36,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0034__pgd_2_3_16__pgd_2_3_16_1579.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0034__pgd_2_3_16__pgd_2_3_16_1579.log"
35,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_9785.vnnlib",100,100,0.39,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0035__pgd_2_3_16__pgd_2_3_16_9785.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0035__pgd_2_3_16__pgd_2_3_16_9785.log"
36,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6942.vnnlib",100,100,0.44,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0036__pgd_2_3_16__pgd_2_3_16_6942.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0036__pgd_2_3_16__pgd_2_3_16_6942.log"
