idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
21,"./onnx/mnist-set.onnx","vnnlib/mnist-img6.vnnlib",30,30,3.22,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0021__mnist-set__mnist-img6.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0021__mnist-set__mnist-img6.log"
22,"./onnx/mnist-point.onnx","vnnlib/mnist-img7.vnnlib",30,30,3.20,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0022__mnist-point__mnist-img7.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0022__mnist-point__mnist-img7.log"
23,"./onnx/mnist-trades.onnx","vnnlib/mnist-img7.vnnlib",30,30,3.24,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0023__mnist-trades__mnist-img7.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0023__mnist-trades__mnist-img7.log"
24,"./onnx/mnist-set.onnx","vnnlib/mnist-img7.vnnlib",30,30,3.17,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0024__mnist-set__mnist-img7.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0024__mnist-set__mnist-img7.log"
25,"./onnx/mnist-point.onnx","vnnlib/mnist-img8.vnnlib",30,30,3.15,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0025__mnist-point__mnist-img8.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0025__mnist-point__mnist-img8.log"
26,"./onnx/mnist-trades.onnx","vnnlib/mnist-img8.vnnlib",30,30,3.29,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0026__mnist-trades__mnist-img8.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0026__mnist-trades__mnist-img8.log"
27,"./onnx/mnist-set.onnx","vnnlib/mnist-img8.vnnlib",30,30,3.23,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0027__mnist-set__mnist-img8.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0027__mnist-set__mnist-img8.log"
28,"./onnx/mnist-point.onnx","vnnlib/mnist-img9.vnnlib",30,30,3.12,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0028__mnist-point__mnist-img9.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0028__mnist-point__mnist-img9.log"
29,"./onnx/mnist-trades.onnx","vnnlib/mnist-img9.vnnlib",30,30,3.16,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0029__mnist-trades__mnist-img9.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0029__mnist-trades__mnist-img9.log"
30,"./onnx/mnist-set.onnx","vnnlib/mnist-img9.vnnlib",30,30,2.97,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0030__mnist-set__mnist-img9.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0030__mnist-set__mnist-img9.log"
31,"./onnx/mnist-point.onnx","vnnlib/mnist-img10.vnnlib",30,30,3.26,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0031__mnist-point__mnist-img10.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0031__mnist-point__mnist-img10.log"
32,"./onnx/mnist-trades.onnx","vnnlib/mnist-img10.vnnlib",30,30,3.13,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0032__mnist-trades__mnist-img10.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0032__mnist-trades__mnist-img10.log"
33,"./onnx/mnist-set.onnx","vnnlib/mnist-img10.vnnlib",30,30,3.11,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0033__mnist-set__mnist-img10.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0033__mnist-set__mnist-img10.log"
