idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
13,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_15377_1.vnnlib",350,350,0.76,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0013__patch-3__spec_onnx_patch-3_idx_15377_1.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0013__patch-3__spec_onnx_patch-3_idx_15377_1.log"
14,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_03396_1.vnnlib",350,350,1.25,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0014__patch-3__spec_onnx_patch-3_idx_03396_1.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0014__patch-3__spec_onnx_patch-3_idx_03396_1.log"
15,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_00087_1.vnnlib",350,350,0.82,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0015__patch-1__spec_onnx_patch-1_idx_00087_1.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0015__patch-1__spec_onnx_patch-1_idx_00087_1.log"
16,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_12878_4.vnnlib",350,350,1.21,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0016__patch-3__spec_onnx_patch-3_idx_12878_4.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0016__patch-3__spec_onnx_patch-3_idx_12878_4.log"
17,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_03775_0.vnnlib",350,350,0.95,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0017__patch-1__spec_onnx_patch-1_idx_03775_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0017__patch-1__spec_onnx_patch-1_idx_03775_0.log"
18,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_00099_1.vnnlib",350,350,1.14,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0018__patch-1__spec_onnx_patch-1_idx_00099_1.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0018__patch-1__spec_onnx_patch-1_idx_00099_1.log"
19,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_14771_0.vnnlib",350,350,0.94,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0019__patch-3__spec_onnx_patch-3_idx_14771_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0019__patch-3__spec_onnx_patch-3_idx_14771_0.log"
20,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_00269_0.vnnlib",350,350,1.17,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0020__patch-1__spec_onnx_patch-1_idx_00269_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0020__patch-1__spec_onnx_patch-1_idx_00269_0.log"
21,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_01673_0.vnnlib",350,350,1.24,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0021__patch-3__spec_onnx_patch-3_idx_01673_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0021__patch-3__spec_onnx_patch-3_idx_01673_0.log"
22,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_01613_0.vnnlib",350,350,1.13,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0022__patch-3__spec_onnx_patch-3_idx_01613_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0022__patch-3__spec_onnx_patch-3_idx_01613_0.log"
