idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
1,"onnx/cGAN_imgSz32_nCh_1.onnx","vnnlib/cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib",900,900,903.31,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0001__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0001__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.log"
2,"onnx/cGAN_imgSz32_nCh_1.onnx","vnnlib/cGAN_imgSz32_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.vnnlib",900,900,3.55,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0002__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0002__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.log"
3,"onnx/cGAN_imgSz32_nCh_1.onnx","vnnlib/cGAN_imgSz32_nCh_1_prop_2_input_eps_0.020_output_eps_0.025.vnnlib",900,900,903.29,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0003__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_2_input_eps_0.020_output_eps_0.025.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0003__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_2_input_eps_0.020_output_eps_0.025.log"
4,"onnx/cGAN_imgSz32_nCh_1.onnx","vnnlib/cGAN_imgSz32_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.vnnlib",900,900,3.53,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0004__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0004__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.log"
5,"onnx/cGAN_imgSz32_nCh_3.onnx","vnnlib/cGAN_imgSz32_nCh_3_prop_0_input_eps_0.015_output_eps_0.020.vnnlib",900,900,4.91,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0005__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_0_input_eps_0.015_output_eps_0.020.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0005__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_0_input_eps_0.015_output_eps_0.020.log"
6,"onnx/cGAN_imgSz32_nCh_3.onnx","vnnlib/cGAN_imgSz32_nCh_3_prop_1_input_eps_0.015_output_eps_0.020.vnnlib",900,900,4.13,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0006__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_1_input_eps_0.015_output_eps_0.020.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0006__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_1_input_eps_0.015_output_eps_0.020.log"
7,"onnx/cGAN_imgSz32_nCh_3.onnx","vnnlib/cGAN_imgSz32_nCh_3_prop_2_input_eps_0.015_output_eps_0.020.vnnlib",900,900,4.39,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0007__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_2_input_eps_0.015_output_eps_0.020.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0007__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_2_input_eps_0.015_output_eps_0.020.log"
8,"onnx/cGAN_imgSz32_nCh_3.onnx","vnnlib/cGAN_imgSz32_nCh_3_prop_3_input_eps_0.015_output_eps_0.020.vnnlib",900,900,903.28,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0008__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_3_input_eps_0.015_output_eps_0.020.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0008__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_3_input_eps_0.015_output_eps_0.020.log"
9,"onnx/cGAN_imgSz64_nCh_1.onnx","vnnlib/cGAN_imgSz64_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib",900,900,903.65,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0009__cGAN_imgSz64_nCh_1__cGAN_imgSz64_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0009__cGAN_imgSz64_nCh_1__cGAN_imgSz64_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.log"
10,"onnx/cGAN_imgSz64_nCh_1.onnx","vnnlib/cGAN_imgSz64_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.vnnlib",900,900,904.91,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0010__cGAN_imgSz64_nCh_1__cGAN_imgSz64_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cgan_2023/0010__cGAN_imgSz64_nCh_1__cGAN_imgSz64_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.log"
