idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
85,"./onnx/svhn-point.onnx","vnnlib/svhn-img279.vnnlib",30,30,6.45,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0085__svhn-point__svhn-img279.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0085__svhn-point__svhn-img279.log"
86,"./onnx/svhn-trades.onnx","vnnlib/svhn-img279.vnnlib",30,30,6.13,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0086__svhn-trades__svhn-img279.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0086__svhn-trades__svhn-img279.log"
87,"./onnx/svhn-set.onnx","vnnlib/svhn-img279.vnnlib",30,30,6.07,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0087__svhn-set__svhn-img279.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0087__svhn-set__svhn-img279.log"
88,"./onnx/svhn-point.onnx","vnnlib/svhn-img289.vnnlib",30,30,6.71,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0088__svhn-point__svhn-img289.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0088__svhn-point__svhn-img289.log"
89,"./onnx/svhn-trades.onnx","vnnlib/svhn-img289.vnnlib",30,30,7.61,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0089__svhn-trades__svhn-img289.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0089__svhn-trades__svhn-img289.log"
90,"./onnx/svhn-set.onnx","vnnlib/svhn-img289.vnnlib",30,30,7.87,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0090__svhn-set__svhn-img289.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0090__svhn-set__svhn-img289.log"
91,"./onnx/svhn-point.onnx","vnnlib/svhn-img337.vnnlib",30,30,5.34,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0091__svhn-point__svhn-img337.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0091__svhn-point__svhn-img337.log"
92,"./onnx/svhn-trades.onnx","vnnlib/svhn-img337.vnnlib",30,30,8.14,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0092__svhn-trades__svhn-img337.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0092__svhn-trades__svhn-img337.log"
93,"./onnx/svhn-set.onnx","vnnlib/svhn-img337.vnnlib",30,30,6.48,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0093__svhn-set__svhn-img337.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0093__svhn-set__svhn-img337.log"
94,"./onnx/svhn-point.onnx","vnnlib/svhn-img349.vnnlib",30,30,5.54,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0094__svhn-point__svhn-img349.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0094__svhn-point__svhn-img349.log"
