idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
19,"onnx/NN_rul_small_window_20.onnx","vnnlib/monotonicity_CI_shift20_w20.vnnlib",300,300,3.00,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0019__NN_rul_small_window_20__monotonicity_CI_shift20_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0019__NN_rul_small_window_20__monotonicity_CI_shift20_w20.log"
20,"onnx/NN_rul_small_window_20.onnx","vnnlib/if_then_5levels_w20.vnnlib",1800,1800,4.27,"sat","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0020__NN_rul_small_window_20__if_then_5levels_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0020__NN_rul_small_window_20__if_then_5levels_w20.log"
21,"onnx/NN_rul_small_window_20.onnx","vnnlib/if_then_7levels_w20.vnnlib",1800,1800,3.52,"sat","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0021__NN_rul_small_window_20__if_then_7levels_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0021__NN_rul_small_window_20__if_then_7levels_w20.log"
22,"onnx/NN_rul_small_window_20.onnx","vnnlib/if_then_9levels_w20.vnnlib",1800,1800,3.69,"sat","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0022__NN_rul_small_window_20__if_then_9levels_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0022__NN_rul_small_window_20__if_then_9levels_w20.log"
23,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_2perturbations_delta5_epsilon10_w20.vnnlib",30,30,3.47,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0023__NN_rul_full_window_20__robustness_2perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0023__NN_rul_full_window_20__robustness_2perturbations_delta5_epsilon10_w20.log"
24,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_2perturbations_delta10_epsilon10_w20.vnnlib",30,30,3.31,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0024__NN_rul_full_window_20__robustness_2perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0024__NN_rul_full_window_20__robustness_2perturbations_delta10_epsilon10_w20.log"
25,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_2perturbations_delta20_epsilon10_w20.vnnlib",60,60,3.80,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0025__NN_rul_full_window_20__robustness_2perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0025__NN_rul_full_window_20__robustness_2perturbations_delta20_epsilon10_w20.log"
26,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_2perturbations_delta40_epsilon10_w20.vnnlib",120,120,3.00,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0026__NN_rul_full_window_20__robustness_2perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0026__NN_rul_full_window_20__robustness_2perturbations_delta40_epsilon10_w20.log"
27,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_4perturbations_delta5_epsilon10_w20.vnnlib",60,60,3.03,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0027__NN_rul_full_window_20__robustness_4perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0027__NN_rul_full_window_20__robustness_4perturbations_delta5_epsilon10_w20.log"
28,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_4perturbations_delta10_epsilon10_w20.vnnlib",60,60,3.65,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0028__NN_rul_full_window_20__robustness_4perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0028__NN_rul_full_window_20__robustness_4perturbations_delta10_epsilon10_w20.log"
29,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_4perturbations_delta20_epsilon10_w20.vnnlib",120,120,3.21,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0029__NN_rul_full_window_20__robustness_4perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0029__NN_rul_full_window_20__robustness_4perturbations_delta20_epsilon10_w20.log"
30,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_4perturbations_delta40_epsilon10_w20.vnnlib",300,300,2.78,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0030__NN_rul_full_window_20__robustness_4perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0030__NN_rul_full_window_20__robustness_4perturbations_delta40_epsilon10_w20.log"
