idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
115,"onnx/ACASXU_run2a_3_7_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.09,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0115__ACASXU_run2a_3_7_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0115__ACASXU_run2a_3_7_batch_2000__prop_3.log"
116,"onnx/ACASXU_run2a_3_8_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.43,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0116__ACASXU_run2a_3_8_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0116__ACASXU_run2a_3_8_batch_2000__prop_3.log"
117,"onnx/ACASXU_run2a_3_9_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.79,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0117__ACASXU_run2a_3_9_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0117__ACASXU_run2a_3_9_batch_2000__prop_3.log"
118,"onnx/ACASXU_run2a_4_1_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.84,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0118__ACASXU_run2a_4_1_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0118__ACASXU_run2a_4_1_batch_2000__prop_3.log"
119,"onnx/ACASXU_run2a_4_2_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,5.09,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0119__ACASXU_run2a_4_2_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0119__ACASXU_run2a_4_2_batch_2000__prop_3.log"
120,"onnx/ACASXU_run2a_4_3_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,5.42,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0120__ACASXU_run2a_4_3_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0120__ACASXU_run2a_4_3_batch_2000__prop_3.log"
121,"onnx/ACASXU_run2a_4_4_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.73,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0121__ACASXU_run2a_4_4_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0121__ACASXU_run2a_4_4_batch_2000__prop_3.log"
122,"onnx/ACASXU_run2a_4_5_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.19,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0122__ACASXU_run2a_4_5_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0122__ACASXU_run2a_4_5_batch_2000__prop_3.log"
123,"onnx/ACASXU_run2a_4_6_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.44,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0123__ACASXU_run2a_4_6_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0123__ACASXU_run2a_4_6_batch_2000__prop_3.log"
124,"onnx/ACASXU_run2a_4_7_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.51,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0124__ACASXU_run2a_4_7_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0124__ACASXU_run2a_4_7_batch_2000__prop_3.log"
125,"onnx/ACASXU_run2a_4_8_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.24,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0125__ACASXU_run2a_4_8_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0125__ACASXU_run2a_4_8_batch_2000__prop_3.log"
126,"onnx/ACASXU_run2a_4_9_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.93,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0126__ACASXU_run2a_4_9_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0126__ACASXU_run2a_4_9_batch_2000__prop_3.log"
127,"onnx/ACASXU_run2a_5_1_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,5.25,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0127__ACASXU_run2a_5_1_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0127__ACASXU_run2a_5_1_batch_2000__prop_3.log"
128,"onnx/ACASXU_run2a_5_2_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,5.11,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0128__ACASXU_run2a_5_2_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0128__ACASXU_run2a_5_2_batch_2000__prop_3.log"
129,"onnx/ACASXU_run2a_5_3_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.66,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0129__ACASXU_run2a_5_3_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0129__ACASXU_run2a_5_3_batch_2000__prop_3.log"
130,"onnx/ACASXU_run2a_5_4_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.88,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0130__ACASXU_run2a_5_4_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0130__ACASXU_run2a_5_4_batch_2000__prop_3.log"
131,"onnx/ACASXU_run2a_5_5_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.69,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0131__ACASXU_run2a_5_5_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0131__ACASXU_run2a_5_5_batch_2000__prop_3.log"
132,"onnx/ACASXU_run2a_5_6_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.52,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0132__ACASXU_run2a_5_6_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0132__ACASXU_run2a_5_6_batch_2000__prop_3.log"
133,"onnx/ACASXU_run2a_5_7_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.35,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0133__ACASXU_run2a_5_7_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0133__ACASXU_run2a_5_7_batch_2000__prop_3.log"
134,"onnx/ACASXU_run2a_5_8_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,3.99,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0134__ACASXU_run2a_5_8_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0134__ACASXU_run2a_5_8_batch_2000__prop_3.log"
135,"onnx/ACASXU_run2a_5_9_batch_2000.onnx","vnnlib/prop_3.vnnlib",116,116,4.05,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0135__ACASXU_run2a_5_9_batch_2000__prop_3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0135__ACASXU_run2a_5_9_batch_2000__prop_3.log"
