Wed May 27 01:15:54 PM AEST 2026
=== BIG-only supervisor   BIG>=40GB  poll=30s  budget=7200s ===
  [36/200]  132.5s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_8196_sidx_3864_eps_0.0039.vnnlib
  [37/200]   27.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_6583_sidx_8860_eps_0.0039.vnnlib
  [38/200]   27.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_8523_sidx_9936_eps_0.0039.vnnlib
  [39/200]   26.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_3418_sidx_4225_eps_0.0039.vnnlib
  [40/200]   22.0s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_7431_sidx_7329_eps_0.0039.vnnlib
  [41/200]   27.0s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_6010_sidx_5369_eps_0.0039.vnnlib
  [42/200]   29.1s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_5127_sidx_993_eps_0.0039.vnnlib
  [43/200]   26.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_6263_sidx_7644_eps_0.0039.vnnlib
  [44/200]   27.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_5001_sidx_1154_eps_0.0039.vnnlib
  [45/200]   26.8s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_4597_sidx_282_eps_0.0039.vnnlib
  [46/200]   34.9s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_3184_sidx_9092_eps_0.0039.vnnlib
  [47/200]   19.8s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_3343_sidx_1406_eps_0.0039.vnnlib
  [48/200]   32.8s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_8330_sidx_7593_eps_0.0039.vnnlib
  [49/200]   24.5s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_5634_sidx_9441_eps_0.0039.vnnlib
  [50/200]   27.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_7478_sidx_6593_eps_0.0039.vnnlib
  [51/200]   18.7s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_913_sidx_2404_eps_0.0039.vnnlib
  [52/200]   28.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_1761_sidx_3933_eps_0.0039.vnnlib
  [53/200]   22.5s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_1798_sidx_1061_eps_0.0039.vnnlib
  [54/200]   35.9s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_8450_sidx_9332_eps_0.0039.vnnlib
  [55/200]   23.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_1592_sidx_3741_eps_0.0039.vnnlib
  [56/200]   30.0s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_230_sidx_1968_eps_0.0039.vnnlib
  [57/200]   36.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_5791_sidx_5659_eps_0.0039.vnnlib
  [58/200]   34.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_4475_sidx_752_eps_0.0039.vnnlib
  [59/200]   22.4s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_3247_sidx_1605_eps_0.0039.vnnlib
  [60/200]   35.8s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_2557_sidx_6196_eps_0.0039.vnnlib
  [61/200]   39.8s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_4191_sidx_3301_eps_0.0039.vnnlib
  [62/200]   31.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_2697_sidx_4836_eps_0.0039.vnnlib
  [63/200]   41.4s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_9665_sidx_9074_eps_0.0039.vnnlib
  [64/200]   40.4s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_9518_sidx_9183_eps_0.0039.vnnlib
  [65/200]   33.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_5973_sidx_7841_eps_0.0039.vnnlib
  [66/200]  131.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_9845_sidx_200_eps_0.0039.vnnlib
  [67/200]   20.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_2779_sidx_6416_eps_0.0039.vnnlib
  [68/200]   19.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_6292_sidx_5430_eps_0.0039.vnnlib
  [69/200]   20.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_8642_sidx_9095_eps_0.0039.vnnlib
  [70/200]   22.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_6049_sidx_4719_eps_0.0039.vnnlib
  [71/200]   25.0s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_8739_sidx_1540_eps_0.0039.vnnlib
  [72/200]   31.0s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_7034_sidx_4129_eps_0.0039.vnnlib
  [73/200]   25.5s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_1498_sidx_792_eps_0.0039.vnnlib
  [74/200]   38.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_3898_sidx_9109_eps_0.0039.vnnlib
  [75/200]  132.5s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_854_sidx_6893_eps_0.0039.vnnlib
  [76/200]   25.4s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_9502_sidx_7197_eps_0.0039.vnnlib
  [77/200]   22.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_2551_sidx_9941_eps_0.0039.vnnlib
  [78/200]   28.8s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_7658_sidx_1537_eps_0.0039.vnnlib
  [79/200]  126.1s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_9726_sidx_4400_eps_0.0039.vnnlib
  [80/200]   18.0s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_9313_sidx_6462_eps_0.0039.vnnlib
  [81/200]   26.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_815_sidx_1902_eps_0.0039.vnnlib
  [82/200]   33.0s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_6491_sidx_3620_eps_0.0039.vnnlib
  [83/200]   46.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_4605_sidx_6225_eps_0.0039.vnnlib
  [84/200]   65.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_2352_sidx_2704_eps_0.0039.vnnlib
  [85/200]   94.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_1642_sidx_7494_eps_0.0039.vnnlib
  [86/200]   62.9s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_8502_sidx_2893_eps_0.0039.vnnlib
  [87/200]   23.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_4964_sidx_5266_eps_0.0039.vnnlib
  [88/200]   11.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_6369_sidx_8824_eps_0.0039.vnnlib
  [89/200]   12.9s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_966_sidx_2330_eps_0.0039.vnnlib
  [90/200]   20.1s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_9162_sidx_4337_eps_0.0039.vnnlib
  [91/200]   15.7s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_425_sidx_9099_eps_0.0039.vnnlib
  [92/200]   19.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_4898_sidx_6695_eps_0.0039.vnnlib
  [93/200]   19.5s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_7500_sidx_40_eps_0.0039.vnnlib
  [94/200]   12.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_7176_sidx_1522_eps_0.0039.vnnlib
  [95/200]  131.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_2050_sidx_8228_eps_0.0039.vnnlib
  [96/200]   13.1s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_7470_sidx_4555_eps_0.0039.vnnlib
  [97/200]   14.2s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_5797_sidx_6343_eps_0.0039.vnnlib
  [98/200]   11.7s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_5894_sidx_5577_eps_0.0039.vnnlib
  [99/200]   10.3s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_3852_sidx_2848_eps_0.0039.vnnlib
  [100/200]   13.6s  onnx/CIFAR100_resnet_medium.onnx  vnnlib/CIFAR100_resnet_medium_prop_idx_2925_sidx_8815_eps_0.0039.vnnlib
  [101/200]   21.1s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_496_sidx_1194_eps_0.0039.vnnlib
  [102/200]   16.4s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_4385_sidx_9116_eps_0.0039.vnnlib
  [103/200]   12.3s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_5308_sidx_1650_eps_0.0039.vnnlib
  [104/200]   55.0s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_4757_sidx_803_eps_0.0039.vnnlib
  [105/200]  111.3s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_4227_sidx_5883_eps_0.0039.vnnlib
  [106/200]   58.3s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_8589_sidx_3105_eps_0.0039.vnnlib
  [107/200]  123.4s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_8476_sidx_3906_eps_0.0039.vnnlib
  [108/200]   16.1s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_1456_sidx_5797_eps_0.0039.vnnlib
  [109/200]   27.2s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_998_sidx_7605_eps_0.0039.vnnlib
  [110/200]   29.1s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_9778_sidx_7516_eps_0.0039.vnnlib
  [111/200]   22.3s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_1063_sidx_7948_eps_0.0039.vnnlib
  [112/200]  121.5s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_1426_sidx_3855_eps_0.0039.vnnlib
  [113/200]  118.8s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_3355_sidx_212_eps_0.0039.vnnlib
  [114/200]   29.3s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_1439_sidx_8354_eps_0.0039.vnnlib
  [115/200]  121.3s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_3585_sidx_3469_eps_0.0039.vnnlib
  [116/200]   41.1s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_2636_sidx_1992_eps_0.0039.vnnlib
  [117/200]   24.1s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_6101_sidx_3593_eps_0.0039.vnnlib
  [118/200]  118.9s  onnx/CIFAR100_resnet_large.onnx  vnnlib/CIFAR100_resnet_large_prop_idx_1059_sidx_6596_eps_0.0039.vnnlib
