idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
79,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_9726_sidx_4400_eps_0.0039.vnnlib",100,100,111.22,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0079__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_9726_sidx_4400_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0079__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_9726_sidx_4400_eps_0.0039.log"
80,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_9313_sidx_6462_eps_0.0039.vnnlib",100,100,106.73,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0080__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_9313_sidx_6462_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0080__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_9313_sidx_6462_eps_0.0039.log"
82,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_6491_sidx_3620_eps_0.0039.vnnlib",100,100,109.42,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0082__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_6491_sidx_3620_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0082__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_6491_sidx_3620_eps_0.0039.log"
84,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_2352_sidx_2704_eps_0.0039.vnnlib",100,100,109.33,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0084__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2352_sidx_2704_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0084__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2352_sidx_2704_eps_0.0039.log"
87,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_4964_sidx_5266_eps_0.0039.vnnlib",100,100,118.26,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0087__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4964_sidx_5266_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0087__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4964_sidx_5266_eps_0.0039.log"
91,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_425_sidx_9099_eps_0.0039.vnnlib",100,100,108.60,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0091__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_425_sidx_9099_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0091__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_425_sidx_9099_eps_0.0039.log"
122,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_1105_sidx_9000_eps_0.0039.vnnlib",100,100,110.28,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0122__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_1105_sidx_9000_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0122__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_1105_sidx_9000_eps_0.0039.log"
123,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_383_sidx_3388_eps_0.0039.vnnlib",100,100,108.01,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0123__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_383_sidx_3388_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0123__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_383_sidx_3388_eps_0.0039.log"
125,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_2132_sidx_6868_eps_0.0039.vnnlib",100,100,111.74,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0125__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_2132_sidx_6868_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0125__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_2132_sidx_6868_eps_0.0039.log"
132,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_2998_sidx_6947_eps_0.0039.vnnlib",100,100,109.01,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0132__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_2998_sidx_6947_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0132__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_2998_sidx_6947_eps_0.0039.log"
137,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_7233_sidx_4318_eps_0.0039.vnnlib",100,100,112.41,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0137__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_7233_sidx_4318_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0137__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_7233_sidx_4318_eps_0.0039.log"
141,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_8005_sidx_2582_eps_0.0039.vnnlib",100,100,23.16,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0141__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_8005_sidx_2582_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0141__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_8005_sidx_2582_eps_0.0039.log"
142,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_1298_sidx_33_eps_0.0039.vnnlib",100,100,11.87,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0142__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_1298_sidx_33_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0142__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_1298_sidx_33_eps_0.0039.log"
143,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_9935_sidx_75_eps_0.0039.vnnlib",100,100,25.93,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0143__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_9935_sidx_75_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0143__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_9935_sidx_75_eps_0.0039.log"
144,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_276_sidx_476_eps_0.0039.vnnlib",100,100,26.28,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0144__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_276_sidx_476_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0144__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_276_sidx_476_eps_0.0039.log"
145,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_1913_sidx_2767_eps_0.0039.vnnlib",100,100,22.53,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0145__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_1913_sidx_2767_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0145__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_1913_sidx_2767_eps_0.0039.log"
146,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_1309_sidx_8525_eps_0.0039.vnnlib",100,100,18.10,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0146__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_1309_sidx_8525_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0146__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_1309_sidx_8525_eps_0.0039.log"
147,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_4862_sidx_9853_eps_0.0039.vnnlib",100,100,23.26,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0147__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_4862_sidx_9853_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0147__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_4862_sidx_9853_eps_0.0039.log"
148,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_7554_sidx_8201_eps_0.0039.vnnlib",100,100,13.91,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0148__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_7554_sidx_8201_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0148__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_7554_sidx_8201_eps_0.0039.log"
149,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_4571_sidx_3801_eps_0.0039.vnnlib",100,100,109.54,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0149__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_4571_sidx_3801_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0149__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_4571_sidx_3801_eps_0.0039.log"
150,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_5769_sidx_1524_eps_0.0039.vnnlib",100,100,110.07,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0150__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_5769_sidx_1524_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0150__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_5769_sidx_1524_eps_0.0039.log"
151,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_8748_sidx_4804_eps_0.0039.vnnlib",100,100,112.68,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0151__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_8748_sidx_4804_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0151__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_8748_sidx_4804_eps_0.0039.log"
154,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_4652_sidx_1371_eps_0.0039.vnnlib",100,100,118.25,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0154__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_4652_sidx_1371_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0154__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_4652_sidx_1371_eps_0.0039.log"
156,"onnx/CIFAR100_resnet_large.onnx","vnnlib/CIFAR100_resnet_large_prop_idx_8332_sidx_4482_eps_0.0039.vnnlib",100,100,111.53,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0156__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_8332_sidx_4482_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0156__CIFAR100_resnet_large__CIFAR100_resnet_large_prop_idx_8332_sidx_4482_eps_0.0039.log"
