source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
full_r3,83,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,19.815,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25322.4140625,./onnx/6cnn_ry_12_2_no_custom_OP.onnx,./vnnlib/spec_idx_105_eps_0.00000436.vnnlib,[],[],[],"watchdog killed instance after 19.8s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25322.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid83_20260526T033951337353Z.json
full_r3,84,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,20.816,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25077.375,./onnx/6cnn_tz_93_15_no_custom_OP.onnx,./vnnlib/spec_idx_208_eps_0.00001000.vnnlib,[],[],[],"watchdog killed instance after 20.8s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25077.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid84_20260526T034012154674Z.json
full_r3,85,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,34.638,,False,,PASSED,,./onnx/4cnn_tz_44_7_no_custom_OP.onnx,./vnnlib/spec_idx_68_eps_0.00001000.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_20260526T034049176339Z.json
full_r3,86,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,18.415,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25652.47265625,./onnx/6cnn_tz_79_13_no_custom_OP.onnx,./vnnlib/spec_idx_205_eps_0.00001000.vnnlib,[],[],[],"watchdog killed instance after 18.4s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25652.5 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid86_20260526T034108600324Z.json
full_r3,87,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,17.813,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24696.2265625,./onnx/6cnn_ry_6_1_no_custom_OP.onnx,./vnnlib/spec_idx_137_eps_0.00000436.vnnlib,[],[],[],"watchdog killed instance after 17.8s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24696.2 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid87_20260526T034126414448Z.json
full_r3,88,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,21.217,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25073.86328125,./onnx/6cnn_ry_52_8_no_custom_OP.onnx,./vnnlib/spec_idx_126_eps_0.00000436.vnnlib,[],[],[],"watchdog killed instance after 21.2s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25073.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid88_20260526T034147632385Z.json
full_r3,89,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,34.339,,False,,PASSED,,./onnx/4cnn_tz_82_13_no_custom_OP.onnx,./vnnlib/spec_idx_87_eps_0.00001000.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_20260526T034224207105Z.json
full_r3,9,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,19.613,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25091.29296875,./onnx/6cnn_ry_49_8_no_custom_OP.onnx,./vnnlib/spec_idx_124_eps_0.00000436.vnnlib,[],[],[],"watchdog killed instance after 19.6s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25091.3 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid9_20260526T030122304920Z.json
full_r3,90,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,18.613,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25231.58984375,./onnx/6cnn_ry_28_4_no_custom_OP.onnx,./vnnlib/spec_idx_113_eps_0.00000436.vnnlib,[],[],[],"watchdog killed instance after 18.6s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25231.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid90_20260526T034243773170Z.json
full_r3,91,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,17.814,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24595.76171875,./onnx/6cnn_tz_28_4_no_custom_OP.onnx,./vnnlib/spec_idx_173_eps_0.00001000.vnnlib,[],[],[],"watchdog killed instance after 17.8s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24595.8 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid91_20260526T034301588247Z.json
