Fri May 29 09:45:45 AM AEST 2026
=== HYB_Z parallel GPU-mid stream  gate>=25GB ===
    [gate-mid] cora_2024: 94 GB free >= 25 GB, proceeding
=== 09:45:45  [mid] bench=cora_2024  workers=1  gpu=0 ===
  [64/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img130.vnnlib
  [65/180]   60.7s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img130.vnnlib
  [66/180]   60.9s  ./onnx/svhn-set.onnx  vnnlib/svhn-img130.vnnlib
  [67/180]   61.3s  ./onnx/svhn-point.onnx  vnnlib/svhn-img137.vnnlib
  [68/180]   61.1s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img137.vnnlib
  [69/180]   60.9s  ./onnx/svhn-set.onnx  vnnlib/svhn-img137.vnnlib
  [70/180]   61.1s  ./onnx/svhn-point.onnx  vnnlib/svhn-img153.vnnlib
  [71/180]   61.3s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img153.vnnlib
  [72/180]   61.4s  ./onnx/svhn-set.onnx  vnnlib/svhn-img153.vnnlib
  [73/180]   61.2s  ./onnx/svhn-point.onnx  vnnlib/svhn-img164.vnnlib
  [74/180]   61.0s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img164.vnnlib
  [75/180]   61.4s  ./onnx/svhn-set.onnx  vnnlib/svhn-img164.vnnlib
  [76/180]   60.7s  ./onnx/svhn-point.onnx  vnnlib/svhn-img182.vnnlib
  [77/180]   61.1s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img182.vnnlib
  [78/180]   61.0s  ./onnx/svhn-set.onnx  vnnlib/svhn-img182.vnnlib
  [79/180]   61.5s  ./onnx/svhn-point.onnx  vnnlib/svhn-img225.vnnlib
  [80/180]   61.6s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img225.vnnlib
  [81/180]   61.4s  ./onnx/svhn-set.onnx  vnnlib/svhn-img225.vnnlib
  [82/180]   61.2s  ./onnx/svhn-point.onnx  vnnlib/svhn-img263.vnnlib
  [83/180]   61.0s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img263.vnnlib
  [84/180]   62.4s  ./onnx/svhn-set.onnx  vnnlib/svhn-img263.vnnlib
  [85/180]   61.4s  ./onnx/svhn-point.onnx  vnnlib/svhn-img279.vnnlib
  [86/180]   60.9s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img279.vnnlib
  [87/180]   61.1s  ./onnx/svhn-set.onnx  vnnlib/svhn-img279.vnnlib
  [88/180]   61.0s  ./onnx/svhn-point.onnx  vnnlib/svhn-img289.vnnlib
  [89/180]   60.8s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img289.vnnlib
  [90/180]   60.7s  ./onnx/svhn-set.onnx  vnnlib/svhn-img289.vnnlib
  [91/180]   60.7s  ./onnx/svhn-point.onnx  vnnlib/svhn-img337.vnnlib
  [92/180]   60.6s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img337.vnnlib
  [93/180]   60.7s  ./onnx/svhn-set.onnx  vnnlib/svhn-img337.vnnlib
  [94/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img349.vnnlib
  [95/180]   60.7s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img349.vnnlib
  [96/180]   60.6s  ./onnx/svhn-set.onnx  vnnlib/svhn-img349.vnnlib
  [97/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img530.vnnlib
  [98/180]   60.6s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img530.vnnlib
  [99/180]   60.7s  ./onnx/svhn-set.onnx  vnnlib/svhn-img530.vnnlib
  [100/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img601.vnnlib
  [101/180]   60.6s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img601.vnnlib
  [102/180]   60.6s  ./onnx/svhn-set.onnx  vnnlib/svhn-img601.vnnlib
  [103/180]   60.7s  ./onnx/svhn-point.onnx  vnnlib/svhn-img637.vnnlib
  [104/180]   60.6s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img637.vnnlib
  [105/180]   60.6s  ./onnx/svhn-set.onnx  vnnlib/svhn-img637.vnnlib
  [106/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img692.vnnlib
  [107/180]   60.7s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img692.vnnlib
