idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
1,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.vnnlib",100,100,6.17,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0001__malware_malimg_family_scaled_linear-25__malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0001__malware_malimg_family_scaled_linear-25__malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.log"
2,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-VB.AT_label-22_eps-3_idx-112.vnnlib",100,100,3.83,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0002__malware_malimg_family_scaled_linear-25__malbeware_family-VB.AT_label-22_eps-3_idx-112.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0002__malware_malimg_family_scaled_linear-25__malbeware_family-VB.AT_label-22_eps-3_idx-112.log"
3,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Allaple.A_label-2_eps-3_idx-11.vnnlib",100,100,3.85,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0003__malware_malimg_family_scaled_linear-25__malbeware_family-Allaple.A_label-2_eps-3_idx-11.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0003__malware_malimg_family_scaled_linear-25__malbeware_family-Allaple.A_label-2_eps-3_idx-11.log"
4,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Skintrim.N_label-19_eps-3_idx-96.vnnlib",100,100,3.96,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0004__malware_malimg_family_scaled_linear-25__malbeware_family-Skintrim.N_label-19_eps-3_idx-96.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0004__malware_malimg_family_scaled_linear-25__malbeware_family-Skintrim.N_label-19_eps-3_idx-96.log"
5,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.vnnlib",100,100,3.59,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0005__malware_malimg_family_scaled_linear-25__malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0005__malware_malimg_family_scaled_linear-25__malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.log"
6,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Agent.FYI_label-1_eps-2_idx-8.vnnlib",100,100,3.93,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0006__malware_malimg_family_scaled_linear-25__malbeware_family-Agent.FYI_label-1_eps-2_idx-8.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0006__malware_malimg_family_scaled_linear-25__malbeware_family-Agent.FYI_label-1_eps-2_idx-8.log"
7,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.vnnlib",100,100,3.85,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0007__malware_malimg_family_scaled_linear-25__malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0007__malware_malimg_family_scaled_linear-25__malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.log"
8,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Rbotigen_label-18_eps-2_idx-92.vnnlib",100,100,3.70,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0008__malware_malimg_family_scaled_linear-25__malbeware_family-Rbotigen_label-18_eps-2_idx-92.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0008__malware_malimg_family_scaled_linear-25__malbeware_family-Rbotigen_label-18_eps-2_idx-92.log"
9,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Yuner.A_label-24_eps-3_idx-120.vnnlib",100,100,4.31,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0009__malware_malimg_family_scaled_linear-25__malbeware_family-Yuner.A_label-24_eps-3_idx-120.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0009__malware_malimg_family_scaled_linear-25__malbeware_family-Yuner.A_label-24_eps-3_idx-120.log"
10,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-102.vnnlib",100,100,4.07,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0010__malware_malimg_family_scaled_linear-25__malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-102.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0010__malware_malimg_family_scaled_linear-25__malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-102.log"
11,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Lolyda.AA1_label-12_eps-3_idx-60.vnnlib",100,100,4.35,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0011__malware_malimg_family_scaled_linear-25__malbeware_family-Lolyda.AA1_label-12_eps-3_idx-60.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0011__malware_malimg_family_scaled_linear-25__malbeware_family-Lolyda.AA1_label-12_eps-3_idx-60.log"
12,"onnx/malware_malimg_family_scaled_linear-25.onnx","vnnlib/malbeware_family-Skintrim.N_label-19_eps-1_idx-96.vnnlib",100,100,3.94,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0012__malware_malimg_family_scaled_linear-25__malbeware_family-Skintrim.N_label-19_eps-1_idx-96.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/malbeware/0012__malware_malimg_family_scaled_linear-25__malbeware_family-Skintrim.N_label-19_eps-1_idx-96.log"
