idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop9.vnnlib",600,600,16.12,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0001__14_ieee_ml4acopf-linear-residual__14_ieee_prop9.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0001__14_ieee_ml4acopf-linear-residual__14_ieee_prop9.log"
2,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop7.vnnlib",600,600,14.21,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0002__14_ieee_ml4acopf-linear-residual__14_ieee_prop7.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0002__14_ieee_ml4acopf-linear-residual__14_ieee_prop7.log"
3,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop2.vnnlib",600,600,15.20,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0003__14_ieee_ml4acopf-linear-residual__14_ieee_prop2.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0003__14_ieee_ml4acopf-linear-residual__14_ieee_prop2.log"
4,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop8.vnnlib",600,600,15.65,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0004__14_ieee_ml4acopf-linear-residual__14_ieee_prop8.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0004__14_ieee_ml4acopf-linear-residual__14_ieee_prop8.log"
5,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop4.vnnlib",600,600,15.50,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0005__14_ieee_ml4acopf-linear-residual__14_ieee_prop4.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0005__14_ieee_ml4acopf-linear-residual__14_ieee_prop4.log"
6,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop6.vnnlib",600,600,15.27,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0006__14_ieee_ml4acopf-linear-residual__14_ieee_prop6.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0006__14_ieee_ml4acopf-linear-residual__14_ieee_prop6.log"
7,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop12.vnnlib",600,600,15.35,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0007__14_ieee_ml4acopf-linear-residual__14_ieee_prop12.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0007__14_ieee_ml4acopf-linear-residual__14_ieee_prop12.log"
8,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop13.vnnlib",600,600,15.51,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0008__14_ieee_ml4acopf-linear-residual__14_ieee_prop13.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0008__14_ieee_ml4acopf-linear-residual__14_ieee_prop13.log"
9,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop11.vnnlib",600,600,14.49,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0009__14_ieee_ml4acopf-linear-residual__14_ieee_prop11.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0009__14_ieee_ml4acopf-linear-residual__14_ieee_prop11.log"
10,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop1.vnnlib",600,600,15.40,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0010__14_ieee_ml4acopf-linear-residual__14_ieee_prop1.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/ml4acopf_2024/0010__14_ieee_ml4acopf-linear-residual__14_ieee_prop1.log"
